date,open,high,low,close,volume
05/23/2024,18907.14,18907.54,18554.89,18623.39,0
05/22/2024,18733.54,18756.69,18606.16,18705.20,0
05/21/2024,18603.99,18721.18,18589.91,18713.80,0
05/20/2024,18559.22,18703.83,18549.84,18674.19,0
05/17/2024,18571.82,18590.37,18462.25,18546.23,0
05/16/2024,18589.98,18669.50,18553.30,18557.96,0
05/15/2024,18412.81,18607.53,18359.32,18596.65,0
05/14/2024,18187.51,18339.58,18175.30,18322.77,0
05/13/2024,18228.40,18233.50,18147.57,18198.61,0
05/10/2024,18171.15,18247.61,18099.73,18161.18,0
05/09/2024,18095.80,18138.02,18012.62,18113.46,0
05/08/2024,17987.70,18135.34,17987.70,18085.01,0
05/07/2024,18106.33,18156.32,18061.61,18091.45,0
05/06/2024,17950.98,18094.46,17937.28,18093.57,0
05/03/2024,17848.66,17926.98,17784.78,17890.80,0
05/02/2024,17474.92,17575.80,17290.64,17541.54,0
05/01/2024,17382.78,17667.86,17284.37,17318.55,0
04/30/2024,17720.35,17768.87,17440.69,17440.69,0
04/29/2024,17801.14,17820.00,17671.03,17782.72,0
04/26/2024,17566.22,17772.78,17533.08,17718.30,0
04/25/2024,17205.28,17474.46,17172.42,17430.50,0
04/24/2024,17613.66,17653.66,17435.33,17526.80,0
04/23/2024,17297.24,17513.31,17277.25,17471.47,0
04/22/2024,17161.11,17305.15,17010.25,17210.89,0
04/19/2024,17334.71,17362.28,16973.94,17037.65,0
04/18/2024,17514.77,17590.81,17376.49,17394.31,0
04/17/2024,17785.82,17788.54,17459.57,17493.62,0
04/16/2024,17691.45,17817.73,17660.89,17713.66,0
04/15/2024,18143.25,18152.08,17676.35,17706.83,0
04/12/2024,18117.67,18166.49,17952.09,18003.49,0
04/11/2024,18085.11,18337.15,17998.25,18307.98,0
04/10/2024,17957.96,18040.83,17932.42,18011.65,0
04/09/2024,18188.87,18210.02,17973.07,18169.90,0
04/08/2024,18130.44,18178.66,18050.69,18100.19,0
04/05/2024,17940.28,18202.96,17912.86,18108.46,0
04/04/2024,18331.02,18362.29,17875.75,17878.78,0
04/03/2024,18054.44,18238.67,18045.42,18160.19,0
04/02/2024,18076.43,18135.57,18002.27,18121.78,0
04/01/2024,18280.82,18391.58,18211.28,18293.20,0
03/28/2024,18263.41,18308.32,18231.38,18254.69,0
03/27/2024,18338.19,18344.09,18168.20,18280.84,0
03/26/2024,18329.29,18378.70,18207.88,18210.54,0
03/25/2024,18215.54,18337.35,18189.28,18277.06,0
03/22/2024,18293.15,18386.25,18267.49,18339.44,0
03/21/2024,18438.24,18464.70,18317.10,18320.38,0
03/20/2024,18067.70,18249.12,18003.24,18240.11,0
03/19/2024,17902.52,18039.82,17809.15,18032.20,0
03/18/2024,18024.24,18124.32,17973.09,17985.01,0
03/15/2024,17926.92,17930.47,17764.99,17808.25,0
03/14/2024,18114.69,18142.90,17913.63,18014.81,0
03/13/2024,18151.76,18163.74,18030.40,18068.47,0
03/12/2024,18063.02,18228.37,17919.33,18219.11,0
03/11/2024,17959.68,18003.05,17873.33,17951.69,0
03/08/2024,18312.78,18416.73,17995.38,18018.45,0
03/07/2024,18161.73,18337.95,18101.43,18297.99,0
03/06/2024,18083.51,18142.88,17941.64,18017.57,0
03/05/2024,18088.71,18097.50,17804.50,17897.87,0
03/04/2024,18290.10,18313.43,18218.25,18226.48,0
03/01/2024,18069.29,18333.26,18064.44,18302.91,0
02/29/2024,17991.67,18068.52,17866.26,18043.85,0
02/28/2024,17895.03,17931.01,17840.36,17874.50,0
02/27/2024,17962.58,17987.54,17871.06,17971.05,0
02/26/2024,17970.21,18014.11,17926.66,17933.33,0
02/23/2024,18052.59,18091.62,17902.78,17937.61,0
02/22/2024,17857.76,18034.80,17808.26,18004.70,0
02/21/2024,17412.79,17482.13,17319.44,17478.91,0
02/20/2024,17591.17,17657.08,17399.41,17546.10,0
02/16/2024,17853.59,17864.16,17663.40,17685.98,0
02/15/2024,17815.32,17864.58,17722.31,17845.72,0
02/14/2024,17728.90,17815.18,17619.92,17807.63,0
02/13/2024,17519.80,17717.67,17478.23,17600.42,0
