date,open,high,low,close,volume
10/25/2024,200.54,202.575,200.07,200.81,2719966
10/24/2024,198.30,200.445,197.70,200.18,3495923
10/23/2024,195.58,196.025,193.03,194.06,2169500
10/22/2024,196.44,197.87,195.92,197.16,1578828
10/21/2024,199.07,199.07,197.21,197.96,1652483
10/18/2024,199.15,200.04,198.37,199.51,1898461
10/17/2024,199.26,199.58,198.07,198.73,1744421
10/16/2024,198.06,198.955,197.80,198.91,2303530
10/15/2024,197.50,199.16,197.50,197.87,3417485
10/14/2024,196.98,197.765,196.1699,197.44,1783317
10/11/2024,195.43,197.37,195.40,196.58,2495809
10/10/2024,198.04,198.48,196.84,197.42,1629509
10/09/2024,197.64,198.80,196.79,198.40,2768802
10/08/2024,195.96,197.31,195.64,196.99,2366568
10/07/2024,196.71,196.71,194.39,195.09,2601002
10/04/2024,197.74,198.63,196.12,198.17,3914163
10/03/2024,196.15,196.91,194.785,195.58,3550693
10/02/2024,197.20,198.42,196.39,197.87,3741187
10/01/2024,200.25,200.43,196.96,199.56,4114744
09/30/2024,200.29,200.93,198.45,200.37,2286341
09/27/2024,201.30,201.65,200.255,200.84,1720946
09/26/2024,201.46,201.90,199.35,200.54,2133430
09/25/2024,199.72,200.1212,199.09,199.69,1694880
09/24/2024,199.65,200.46,198.47,200.41,2029802
09/23/2024,197.11,198.75,196.70,198.67,3635610
09/20/2024,196.79,196.99,195.23,196.69,2776174
09/19/2024,196.47,197.58,195.83,197.14,2932858
09/18/2024,193.41,196.045,192.52,192.75,3317400
09/17/2024,193.29,195.04,192.53,193.13,2153963
09/16/2024,192.38,192.79,191.11,192.15,1538628
09/13/2024,191.35,192.96,191.11,192.48,1963101
09/12/2024,189.04,191.27,188.82,191.18,2374296
09/11/2024,186.90,189.31,183.01,189.05,3755700
09/10/2024,185.78,187.30,184.67,187.18,4712294
09/09/2024,184.31,185.78,183.82,185.06,2148829
09/06/2024,187.49,188.17,182.32,182.40,3857063
09/05/2024,185.90,188.41,185.72,187.13,3632123
09/04/2024,184.03,185.87,183.7905,185.03,5003766
09/03/2024,186.58,187.4511,183.70,184.55,4938302
08/30/2024,185.02,187.29,184.28,187.12,2336125
08/29/2024,185.74,186.525,184.165,184.34,2307974
08/28/2024,185.81,186.27,182.65,184.12,2834303
08/27/2024,185.95,186.19,184.66,185.92,1664175
08/26/2024,187.69,188.09,185.83,186.41,1605453
08/23/2024,185.75,188.08,185.72,187.87,3152083
08/22/2024,187.88,188.06,183.97,184.31,2854959
